url,listing_id,brand,model,version,mileage,year,transmission,drivetrain,fuel_type,horsepower_cv,location,seller,price_rating,price,listing_date,car_condition,previous_owners,body_type,exterior_color,interior_color,upholstery,seats,doors,engine,power_ch,cylinder_capacity
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c-coupe/120910,120910,Mercedes Benz,Classe C Coupe,C coupéAMG,49700,2019,Automatique,Propulsion,Essence,9,Tunis,Individual,Bon prix,140000,03.12.2025,Très bon,1ère main,Coupé,Noir,Rouge,Cuir intégral,4,3,(205) Coupé09/2015 - 04/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/fiat/panda/121030,121030,Fiat,Panda,N/A,90000,2021,Automatique,Traction,Essence,4,Sfax,Individual,Aucune évaluation,36000,03.12.2025,Très bon,1ère main,Citadine,Blanc,Noir,Tissu,5,5,(312)01/2012 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/audi/a4/117544,117544,Audi,A4,Plus,215000,2017,Automatique,Traction,Essence,8,Tunis,Individual,Prix équitable,69000,03.12.2025,Très bon,2ème main,Berline,Blanc,Gris,Tissu,5,4,IV Phase 1 (B9)01/2016 - 06/2019,N/A,N/A
https://www.automobile.tn/fr/occasion/volkswagen/polo-sedan/121026,121026,Volkswagen,Polo Sedan,SedanTrendline,102497,2022,Manuelle,Traction,Essence,5,Tunis,Ennakl Occasion,Bon prix,44000,03.12.2025,Normal,1ère main,Berline,Noir,Noir,Tissu,5,4,V Berline05/2010 - 12/2023,N/A,N/A
https://www.automobile.tn/fr/occasion/volkswagen/golf-8/121025,121025,Volkswagen,Golf 8,8R-Line,59847,2020,Manuelle,Traction,Essence,7,Tunis,Ennakl Occasion,Prix très élevé,111000,03.12.2025,Très bon,1ère main,Compacte,Bleu,Noir,Tissu,4,4,VIII Hatchback07/2019 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/peugeot/208/120682,120682,Peugeot,208,N/A,26000,2023,Manuelle,Traction,Essence,4,Sfax,Individual,Prix équitable,42500,03.12.2025,Très bon,1ère main,Citadine,Blanc,Noir,Similicuir,5,5,II (P21) 5 Portes10/2019 - 10/2023,N/A,N/A
https://www.automobile.tn/fr/occasion/bmw/serie-3/118807,118807,Bmw,Serie 3,3Exclusive Edition,135000,2018,Automatique,Propulsion,Essence,7,Tunis,ATO Tunisie,Bon prix,78000,03.12.2025,Très bon,1ère main,Berline,Noir,Noir,Tissu,5,4,(F30) LCI Berline09/2015 - 03/2019,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/glc-coupe/118602,118602,Mercedes Benz,Glc Coupe,CoupéAMG,33000,2024,Automatique,Intégrale,Hybride,11,Tunis,Individual,Bon prix,310000,03.12.2025,Très bon,1ère main,SUV,Noir,Rouge,Cuir intégral,5,5,(C254) Coupé06/2022 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/hyundai/i20/121022,121022,Hyundai,I20,Grade,116415,2021,Automatique,Traction,Essence,5,Tunis,Ennakl Occasion,Bon prix,55000,03.12.2025,Normal,1ère main,Citadine,Blanc,Noir,Tissu,5,4,III Phase 110/2020 - 11/2023,N/A,N/A
https://www.automobile.tn/fr/occasion/volkswagen/caddy/120479,120479,Volkswagen,Caddy,N/A,238000,2020,Manuelle,Traction,Diesel,5,Ben Arous,Individual,Prix élevé,43500,03.12.2025,Très bon,1ère main,Utilitaire,Gris Shark,Noir,Tissu,2,4,IV Van06/2015 - 12/2020,N/A,N/A
https://www.automobile.tn/fr/occasion/nissan/qashqai/120975,120975,Nissan,Qashqai,N/A,100000,2017,Manuelle,Traction,Diesel,5,Bizerte,Individual,Bon prix,65000,03.12.2025,Très bon,2ème main,SUV,Noir,Noir,Cuir partiel,4,5,II Phase 2 (J11E)06/2017 - 07/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/honda/brio/121020,121020,Honda,Brio,N/A,169000,2017,Manuelle,Traction,Essence,5,Sousse,Individual,Prix très élevé,26500,03.12.2025,Très bon,1ère main,Citadine,Rouge,Gris,Tissu,5,5,I01/2011 - 04/2020,N/A,N/A
https://www.automobile.tn/fr/occasion/peugeot/3008/120993,120993,Peugeot,3008,Blanc nacré,170000,2019,Manuelle,Intégrale,Diesel,6,Médenine,Individual,Prix équitable,75000,03.12.2025,Très bon,2ème main,SUV,Blanc,Noir,Cuir partiel,5,5,II07/2016 - 03/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/land-rover/discovery-sport/121012,121012,Land Rover,Discovery Sport,Discovery SportSE,203000,2015,Automatique,Intégrale,Diesel,9,Ariana,Individual,Bon prix,98000,02.12.2025,Très bon,2ème main,SUV,Noir,Noir,Cuir intégral,5,5,Sport09/2014 - 04/2019,N/A,N/A
